Update,Type,Abundance
0,Cooperator,0
0,Cheater,1
100,Cooperator,0
100,Cheater,34
200,Cooperator,0
200,Cheater,129
300,Cooperator,0
300,Cheater,292
400,Cooperator,0
400,Cheater,550
500,Cooperator,0
500,Cheater,891
600,Cooperator,0
600,Cheater,1316
700,Cooperator,6
700,Cheater,1821
800,Cooperator,2
800,Cheater,2442
900,Cooperator,3
900,Cheater,3282
1000,Cooperator,57
1000,Cheater,4206
1100,Cooperator,137
1100,Cheater,3025
1200,Cooperator,156
1200,Cheater,2477
1300,Cooperator,120
1300,Cheater,2112
1400,Cooperator,126
1400,Cheater,2011
1500,Cooperator,105
1500,Cheater,2561
1600,Cooperator,168
1600,Cheater,2799
1700,Cooperator,254
1700,Cheater,2872
1800,Cooperator,320
1800,Cheater,3646
1900,Cooperator,326
1900,Cheater,3702
2000,Cooperator,360
2000,Cheater,3831
2100,Cooperator,272
2100,Cheater,3819
2200,Cooperator,134
2200,Cheater,3707
2300,Cooperator,94
2300,Cheater,2917
2400,Cooperator,88
2400,Cheater,2553
2500,Cooperator,87
2500,Cheater,1970
2600,Cooperator,101
2600,Cheater,2185
2700,Cooperator,91
2700,Cheater,2237
2800,Cooperator,81
2800,Cheater,2006
2900,Cooperator,96
2900,Cheater,2032
3000,Cooperator,134
3000,Cheater,2315
3100,Cooperator,166
3100,Cheater,2284
3200,Cooperator,97
3200,Cheater,1738
3300,Cooperator,119
3300,Cheater,2040
3400,Cooperator,98
3400,Cheater,1546
3500,Cooperator,105
3500,Cheater,1660
3600,Cooperator,183
3600,Cheater,1901
3700,Cooperator,195
3700,Cheater,2111
3800,Cooperator,273
3800,Cheater,3137
3900,Cooperator,234
3900,Cheater,3094
4000,Cooperator,347
4000,Cheater,3941
4100,Cooperator,400
4100,Cheater,3718
4200,Cooperator,394
4200,Cheater,3806
4300,Cooperator,300
4300,Cheater,4173
4400,Cooperator,445
4400,Cheater,4501
4500,Cooperator,459
4500,Cheater,5282
4600,Cooperator,437
4600,Cheater,5789
4700,Cooperator,444
4700,Cheater,5552
4800,Cooperator,476
4800,Cheater,5405
4900,Cooperator,454
4900,Cheater,5832
5000,Cooperator,581
5000,Cheater,5982
5100,Cooperator,570
5100,Cheater,5559
5200,Cooperator,543
5200,Cheater,5651
5300,Cooperator,522
5300,Cheater,5508
5400,Cooperator,643
5400,Cheater,5619
5500,Cooperator,761
5500,Cheater,5839
5600,Cooperator,887
5600,Cheater,5490
5700,Cooperator,1006
5700,Cheater,5804
5800,Cooperator,924
5800,Cheater,5467
5900,Cooperator,935
5900,Cheater,5566
6000,Cooperator,862
6000,Cheater,5522
6100,Cooperator,846
6100,Cheater,5941
6200,Cooperator,913
6200,Cheater,5863
6300,Cooperator,864
6300,Cheater,5653
6400,Cooperator,786
6400,Cheater,5640
6500,Cooperator,754
6500,Cheater,5858
6600,Cooperator,717
6600,Cheater,5740
6700,Cooperator,712
6700,Cheater,5689
6800,Cooperator,677
6800,Cheater,5495
6900,Cooperator,796
6900,Cheater,5532
7000,Cooperator,714
7000,Cheater,5287
7100,Cooperator,531
7100,Cheater,5434
7200,Cooperator,567
7200,Cheater,5383
7300,Cooperator,469
7300,Cheater,5281
7400,Cooperator,621
7400,Cheater,4995
7500,Cooperator,382
7500,Cheater,5495
7600,Cooperator,444
7600,Cheater,5168
7700,Cooperator,451
7700,Cheater,4759
7800,Cooperator,480
7800,Cheater,5034
7900,Cooperator,503
7900,Cheater,5139
8000,Cooperator,345
8000,Cheater,4295
8100,Cooperator,393
8100,Cheater,4150
8200,Cooperator,239
8200,Cheater,3243
8300,Cooperator,216
8300,Cheater,2538
8400,Cooperator,201
8400,Cheater,2287
8500,Cooperator,177
8500,Cheater,1765
8600,Cooperator,183
8600,Cheater,1573
8700,Cooperator,198
8700,Cheater,1628
8800,Cooperator,190
8800,Cheater,1421
8900,Cooperator,194
8900,Cheater,1549
9000,Cooperator,245
9000,Cheater,1673
9100,Cooperator,279
9100,Cheater,1998
9200,Cooperator,185
9200,Cheater,1800
9300,Cooperator,249
9300,Cheater,2323
9400,Cooperator,354
9400,Cheater,2252
9500,Cooperator,396
9500,Cheater,2289
9600,Cooperator,524
9600,Cheater,2334
9700,Cooperator,619
9700,Cheater,2555
9800,Cooperator,882
9800,Cheater,2342
9900,Cooperator,869
9900,Cheater,2445
10000,Cooperator,1131
10000,Cheater,2811
10100,Cooperator,1268
10100,Cheater,2485
10200,Cooperator,1557
10200,Cheater,2388
10300,Cooperator,1722
10300,Cheater,2298
10400,Cooperator,1961
10400,Cheater,2196
10500,Cooperator,2141
10500,Cheater,2368
10600,Cooperator,2517
10600,Cheater,2257
10700,Cooperator,2760
10700,Cheater,1960
10800,Cooperator,2940
10800,Cheater,2309
10900,Cooperator,3330
10900,Cheater,1979
11000,Cooperator,3469
11000,Cheater,1942
11100,Cooperator,3761
11100,Cheater,2012
11200,Cooperator,4413
11200,Cheater,2207
11300,Cooperator,4608
11300,Cheater,2212
11400,Cooperator,4739
11400,Cheater,2048
11500,Cooperator,4999
11500,Cheater,1976
11600,Cooperator,5195
11600,Cheater,1993
11700,Cooperator,5643
11700,Cheater,1954
11800,Cooperator,6035
11800,Cheater,2063
11900,Cooperator,6395
11900,Cheater,2343
12000,Cooperator,6482
12000,Cheater,2093
12100,Cooperator,6862
12100,Cheater,2027
12200,Cooperator,7019
12200,Cheater,2103
12300,Cooperator,7161
12300,Cheater,2095
12400,Cooperator,7415
12400,Cheater,2108
12500,Cooperator,7539
12500,Cheater,2083
12600,Cooperator,7701
12600,Cheater,2090
12700,Cooperator,7775
12700,Cheater,1956
12800,Cooperator,7755
12800,Cheater,2108
12900,Cooperator,7750
12900,Cheater,2058
13000,Cooperator,7743
13000,Cheater,2175
13100,Cooperator,7792
13100,Cheater,1929
13200,Cooperator,8005
13200,Cheater,1788
13300,Cooperator,7891
13300,Cheater,2033
13400,Cooperator,7843
13400,Cheater,2100
13500,Cooperator,7898
13500,Cheater,2034
13600,Cooperator,7836
13600,Cheater,2097
13700,Cooperator,7804
13700,Cheater,2112
13800,Cooperator,7922
13800,Cheater,2011
13900,Cooperator,7977
13900,Cheater,1968
14000,Cooperator,7886
14000,Cheater,2042
14100,Cooperator,7991
14100,Cheater,1939
14200,Cooperator,7872
14200,Cheater,2066
14300,Cooperator,7892
14300,Cheater,1956
14400,Cooperator,7901
14400,Cheater,1971
14500,Cooperator,7757
14500,Cheater,2091
14600,Cooperator,7762
14600,Cheater,2118
14700,Cooperator,7631
14700,Cheater,2054
14800,Cooperator,7787
14800,Cheater,2065
14900,Cooperator,7664
14900,Cheater,2106
15000,Cooperator,7823
15000,Cheater,1961
15100,Cooperator,7904
15100,Cheater,1991
15200,Cooperator,7787
15200,Cheater,2055
15300,Cooperator,7771
15300,Cheater,2016
15400,Cooperator,7624
15400,Cheater,2178
15500,Cooperator,7650
15500,Cheater,2131
15600,Cooperator,7906
15600,Cheater,1987
15700,Cooperator,7695
15700,Cheater,2224
15800,Cooperator,7671
15800,Cheater,2120
15900,Cooperator,7805
15900,Cheater,2127
16000,Cooperator,7927
16000,Cheater,1924
16100,Cooperator,7820
16100,Cheater,2055
16200,Cooperator,7741
16200,Cheater,2062
16300,Cooperator,7966
16300,Cheater,1967
16400,Cooperator,7908
16400,Cheater,1910
16500,Cooperator,7842
16500,Cheater,2077
16600,Cooperator,7785
16600,Cheater,2029
16700,Cooperator,7834
16700,Cheater,1934
16800,Cooperator,7883
16800,Cheater,1858
16900,Cooperator,7969
16900,Cheater,1831
17000,Cooperator,8134
17000,Cheater,1796
17100,Cooperator,8105
17100,Cheater,1837
17200,Cooperator,8141
17200,Cheater,1747
17300,Cooperator,8164
17300,Cheater,1758
17400,Cooperator,7996
17400,Cheater,1854
17500,Cooperator,7869
17500,Cheater,2032
17600,Cooperator,7812
17600,Cheater,2102
17700,Cooperator,7748
17700,Cheater,2185
17800,Cooperator,7746
17800,Cheater,2163
17900,Cooperator,7615
17900,Cheater,2226
18000,Cooperator,7665
18000,Cheater,2192
18100,Cooperator,7830
18100,Cheater,2033
18200,Cooperator,7789
18200,Cheater,2104
18300,Cooperator,7846
18300,Cheater,1962
18400,Cooperator,7741
18400,Cheater,2189
18500,Cooperator,7595
18500,Cheater,2265
18600,Cooperator,7454
18600,Cheater,2380
18700,Cooperator,7308
18700,Cheater,2418
18800,Cooperator,7332
18800,Cheater,2227
18900,Cooperator,7413
18900,Cheater,2275
19000,Cooperator,7618
19000,Cheater,2258
19100,Cooperator,7524
19100,Cheater,2389
19200,Cooperator,7524
19200,Cheater,2416
19300,Cooperator,7460
19300,Cheater,2395
19400,Cooperator,7385
19400,Cheater,2494
19500,Cooperator,7325
19500,Cheater,2452
19600,Cooperator,7326
19600,Cheater,2389
19700,Cooperator,7388
19700,Cheater,2351
19800,Cooperator,7383
19800,Cheater,2449
19900,Cooperator,7364
19900,Cheater,2258
20000,Cooperator,7143
20000,Cheater,2652
20100,Cooperator,7069
20100,Cheater,2764
20200,Cooperator,7053
20200,Cheater,2743
20300,Cooperator,7017
20300,Cheater,2789
20400,Cooperator,6920
20400,Cheater,2901
20500,Cooperator,6897
20500,Cheater,2924
20600,Cooperator,6908
20600,Cheater,2910
20700,Cooperator,7060
20700,Cheater,2745
20800,Cooperator,7087
20800,Cheater,2685
20900,Cooperator,6941
20900,Cheater,2884
21000,Cooperator,6915
21000,Cheater,2992
21100,Cooperator,6754
21100,Cheater,2851
21200,Cooperator,6781
21200,Cheater,2994
21300,Cooperator,6446
21300,Cheater,3051
21400,Cooperator,6361
21400,Cheater,3301
21500,Cooperator,6114
21500,Cheater,3532
21600,Cooperator,6274
21600,Cheater,3326
21700,Cooperator,6239
21700,Cheater,3406
21800,Cooperator,6194
21800,Cheater,3532
21900,Cooperator,6072
21900,Cheater,3574
22000,Cooperator,5993
22000,Cheater,3533
22100,Cooperator,6106
22100,Cheater,3508
22200,Cooperator,6113
22200,Cheater,3622
22300,Cooperator,5811
22300,Cheater,3891
22400,Cooperator,5917
22400,Cheater,3702
22500,Cooperator,6029
22500,Cheater,3649
22600,Cooperator,5886
22600,Cheater,3714
22700,Cooperator,6035
22700,Cheater,3636
22800,Cooperator,5904
22800,Cheater,3566
22900,Cooperator,5959
22900,Cheater,3602
23000,Cooperator,5842
23000,Cheater,3631
23100,Cooperator,5526
23100,Cheater,3886
23200,Cooperator,5648
23200,Cheater,3971
23300,Cooperator,5683
23300,Cheater,3613
23400,Cooperator,5716
23400,Cheater,3566
23500,Cooperator,5932
23500,Cheater,3308
23600,Cooperator,6321
23600,Cheater,3291
23700,Cooperator,6334
23700,Cheater,3324
23800,Cooperator,6302
23800,Cheater,3344
23900,Cooperator,6420
23900,Cheater,3285
24000,Cooperator,6197
24000,Cheater,3376
24100,Cooperator,6207
24100,Cheater,3300
24200,Cooperator,6134
24200,Cheater,3390
24300,Cooperator,6358
24300,Cheater,3316
24400,Cooperator,6517
24400,Cheater,3129
24500,Cooperator,6365
24500,Cheater,3342
24600,Cooperator,6292
24600,Cheater,3331
24700,Cooperator,6444
24700,Cheater,3234
24800,Cooperator,6182
24800,Cheater,3436
24900,Cooperator,6262
