Strain,Media,Replicate,Biofilm,Growth
WT,0.25,1,0.2295,0.6941
WT,0.25,2,0.171,0.6967
WT,0.25,3,0.1769,0.6859
WT,0.50,1,0.1884,1.0501
WT,0.50,2,0.194,1.0246
WT,0.50,3,0.1793,1.0026
WT,0.75,1,0.2433,1.1098
WT,0.75,2,0.1285,1.1476
WT,0.75,3,0.1669,1.1313
WT,1.00,1,0.1575,1.1302
WT,1.00,2,0.1916,1.2198
WT,1.00,3,0.1449,1.1876
WT,1.25,1,0.1411,1.102
WT,1.25,2,0.1672,1.2268
WT,1.25,3,0.1646,1.2304
WT,1.50,1,0.1969,1.0619
WT,1.50,2,0.2309,1.1919
WT,1.50,3,0.1135,1.1637
WT,1.75,1,0.1705,0.9876
WT,1.75,2,0.2349,1.1117
WT,1.75,3,0.3351,1.1697
WT,2.00,1,0.719,0.93
WT,2.00,2,0.3921,0.913
WT,2.00,3,0.3862,0.8987
7d,0.25,1,0.34,
7d,0.25,2,0.371025,
7d,0.25,3,0.506125,
7d,0.25,4,2.2928,
7d,0.25,5,4.138925,
7d,0.50,1,0.678125,
7d,0.50,2,4.13565,
7d,0.50,3,3.37365,
7d,0.50,4,0.7924,
7d,0.50,5,0.96845,
7d,0.75,1,3.7359,
7d,0.75,2,7.644975,
7d,0.75,3,7.13575,
7d,0.75,4,2.219775,
7d,0.75,5,7.74325,
7d,1.00,1,7.43615,
7d,1.00,2,10.27685,
7d,1.00,3,3.6022,
7d,1.00,4,5.28695,
7d,1.00,5,7.717475,
7d,1.25,1,5.800725,
7d,1.25,2,3.180125,
7d,1.25,3,10.578,
7d,1.25,4,10.680575,
7d,1.25,5,6.167175,
7d,1.50,1,8.52385,
7d,1.50,2,9.9335,
7d,1.50,3,4.62355,
7d,1.50,4,7.779175,
7d,1.50,5,6.09805,
7d,1.75,1,8.403525,
7d,1.75,2,7.23575,
7d,1.75,3,11.641675,
7d,1.75,4,3.944725,
7d,1.75,5,5.044775,
7d,2.00,1,3.52535,
7d,2.00,2,5.77,
7d,2.00,3,8.614,
7d,2.00,4,5.466625,
7d,2.00,5,10.5231,
